timestamp_utc,glucose_mg_dl,tag,source
2026-01-23T22:00:00Z,80,breakfast,simulated
2026-01-23T22:30:00Z,76,breakfast,simulated
2026-01-23T23:00:00Z,80,breakfast,simulated
2026-01-23T23:30:00Z,83,breakfast,simulated
2026-01-24T00:00:00Z,83,breakfast,simulated
2026-01-24T00:30:00Z,81,breakfast,simulated
2026-01-24T01:00:00Z,80,breakfast,simulated
2026-01-24T01:30:00Z,84,breakfast,simulated
2026-01-24T02:00:00Z,80,breakfast,simulated
2026-01-24T02:30:00Z,84,breakfast,simulated
2026-01-24T03:00:00Z,83,breakfast,simulated
2026-01-24T03:30:00Z,88,breakfast,simulated
2026-01-24T04:00:00Z,87,breakfast,simulated
2026-01-24T04:30:00Z,98,breakfast,simulated
2026-01-24T05:00:00Z,110,breakfast,simulated
2026-01-24T05:30:00Z,122,breakfast,simulated
2026-01-24T06:00:00Z,129,breakfast,simulated
2026-01-24T06:30:00Z,124,breakfast,simulated
2026-01-24T07:00:00Z,110,breakfast,simulated
2026-01-24T07:30:00Z,103,breakfast,simulated
2026-01-24T08:00:00Z,110,snack_am,simulated
2026-01-24T08:30:00Z,112,snack_am,simulated
2026-01-24T09:00:00Z,112,snack_am,simulated
2026-01-24T09:30:00Z,111,lunch,simulated
2026-01-24T10:00:00Z,114,lunch,simulated
2026-01-24T10:30:00Z,129,lunch,simulated
2026-01-24T11:00:00Z,135,lunch,simulated
2026-01-24T11:30:00Z,130,lunch,simulated
2026-01-24T12:00:00Z,115,lunch,simulated
2026-01-24T12:30:00Z,102,lunch,simulated
2026-01-24T13:00:00Z,100,lunch,simulated
2026-01-24T13:30:00Z,102,snack_pm,simulated
2026-01-24T14:00:00Z,103,snack_pm,simulated
2026-01-24T14:30:00Z,104,snack_pm,simulated
2026-01-24T15:00:00Z,103,dinner,simulated
2026-01-24T15:30:00Z,102,dinner,simulated
2026-01-24T16:00:00Z,115,dinner,simulated
2026-01-24T16:30:00Z,129,dinner,simulated
2026-01-24T17:00:00Z,128,dinner,simulated
2026-01-24T17:30:00Z,128,dinner,simulated
2026-01-24T18:00:00Z,114,dinner,simulated
2026-01-24T18:30:00Z,104,dinner,simulated
2026-01-24T19:00:00Z,102,snack_pm2,simulated
2026-01-24T19:30:00Z,100,snack_pm2,simulated
2026-01-24T20:00:00Z,90,snack_pm2,simulated
2026-01-24T20:30:00Z,83,snack_pm2,simulated
2026-01-24T21:00:00Z,87,snack_pm2,simulated
2026-01-24T21:30:00Z,86,snack_pm2,simulated
2026-01-24T22:00:00Z,81,breakfast,simulated
2026-01-24T22:30:00Z,82,breakfast,simulated
2026-01-24T23:00:00Z,81,breakfast,simulated
2026-01-24T23:30:00Z,79,breakfast,simulated
2026-01-25T00:00:00Z,86,breakfast,simulated
2026-01-25T00:30:00Z,78,breakfast,simulated
2026-01-25T01:00:00Z,78,breakfast,simulated
2026-01-25T01:30:00Z,83,breakfast,simulated
2026-01-25T02:00:00Z,83,breakfast,simulated
2026-01-25T02:30:00Z,81,breakfast,simulated
2026-01-25T03:00:00Z,81,breakfast,simulated
2026-01-25T03:30:00Z,91,breakfast,simulated
2026-01-25T04:00:00Z,91,breakfast,simulated
2026-01-25T04:30:00Z,95,breakfast,simulated
2026-01-25T05:00:00Z,113,breakfast,simulated
2026-01-25T05:30:00Z,118,breakfast,simulated
2026-01-25T06:00:00Z,128,breakfast,simulated
2026-01-25T06:30:00Z,120,breakfast,simulated
2026-01-25T07:00:00Z,110,breakfast,simulated
2026-01-25T07:30:00Z,105,breakfast,simulated
2026-01-25T08:00:00Z,110,snack_am,simulated
2026-01-25T08:30:00Z,110,snack_am,simulated
2026-01-25T09:00:00Z,109,snack_am,simulated
2026-01-25T09:30:00Z,109,lunch,simulated
2026-01-25T10:00:00Z,116,lunch,simulated
